state,date,imaief_cons,imaief_actsec,imaief_manf,imaief_minr,imaief_cons_base,imaief_actsec_base,imaief_manf_base,imaief_minr_base,naim,covid,period,time_to_treat
Ciudad de México,2013-10-01,97.77777777777779,100.64397424103035,103.49175557710961,91.89852700490998,117,108.7,103.1,122.2,0,0,46,-61
Ciudad de México,2013-11-01,84.95726495726497,94.02023919043239,101.06692531522793,78.55973813420621,117,108.7,103.1,122.2,0,0,47,-60
Ciudad de México,2013-12-01,87.86324786324786,90.524379024839,92.62851600387974,81.50572831423895,117,108.7,103.1,122.2,0,0,48,-59
Ciudad de México,2014-01-01,74.1025641025641,85.55657773689053,93.69544131910766,74.14075286415711,117,108.7,103.1,122.2,0,0,49,-58
Ciudad de México,2014-02-01,92.05128205128206,92.27230910763569,93.01648884578081,82.73322422258592,117,108.7,103.1,122.2,0,0,50,-57
Ciudad de México,2014-03-01,98.54700854700855,96.8721251149954,96.31425800193986,104.82815057283142,117,108.7,103.1,122.2,0,0,51,-56
Ciudad de México,2014-04-01,86.58119658119658,89.78840846366145,92.24054316197866,83.96072013093288,117,108.7,103.1,122.2,0,0,52,-55
Ciudad de México,2014-05-01,97.26495726495726,97.51609935602575,98.2541222114452,101.47299509001637,117,108.7,103.1,122.2,0,0,53,-54
Ciudad de México,2014-06-01,90.42735042735043,94.11223551057957,97.090203685742,90.50736497545007,117,108.7,103.1,122.2,0,0,54,-53
Ciudad de México,2014-07-01,93.33333333333333,95.67617295308187,97.76915615906887,96.31751227495909,117,108.7,103.1,122.2,0,0,55,-52
Ciudad de México,2014-08-01,96.23931623931622,95.49218031278748,95.24733268671194,98.6088379705401,117,108.7,103.1,122.2,0,0,56,-51
Ciudad de México,2014-09-01,96.41025641025641,96.04415823367066,96.2172647914646,88.1342062193126,117,108.7,103.1,122.2,0,0,57,-50
Ciudad de México,2014-10-01,103.16239316239317,102.48390064397424,102.81280310378274,97.79050736497544,117,108.7,103.1,122.2,0,0,58,-49
Ciudad de México,2014-11-01,108.8888888888889,103.21987120515179,99.90300678952474,101.3911620294599,117,108.7,103.1,122.2,0,0,59,-48
Ciudad de México,2014-12-01,106.58119658119658,99.81600735970561,95.24733268671194,105.72831423895252,117,108.7,103.1,122.2,0,0,60,-47
Ciudad de México,2015-01-01,84.01709401709402,88.9604415823367,92.43452958292919,82.24222585924713,117,108.7,103.1,122.2,0,0,61,-46
Ciudad de México,2015-02-01,83.84615384615384,87.21251149954001,89.5247332686712,84.12438625204582,117,108.7,103.1,122.2,0,0,62,-45
Ciudad de México,2015-03-01,90.68376068376068,93.28426862925483,95.24733268671194,100.98199672667758,117,108.7,103.1,122.2,0,0,63,-44
Ciudad de México,2015-04-01,78.88888888888889,86.56853725850965,91.36760426770127,79.95090016366612,117,108.7,103.1,122.2,0,0,64,-43
Ciudad de México,2015-05-01,80.42735042735042,87.94848206071755,92.725509214355,90.01636661211128,117,108.7,103.1,122.2,0,0,65,-42
Ciudad de México,2015-06-01,81.19658119658119,91.26034958601656,98.15712900096995,88.29787234042553,117,108.7,103.1,122.2,0,0,66,-41
Ciudad de México,2015-07-01,87.17948717948718,93.83624655013799,98.44810863239573,86.57937806873977,117,108.7,103.1,122.2,0,0,67,-40
Ciudad de México,2015-08-01,82.47863247863248,90.34038638454462,95.53831231813773,86.98854337152208,117,108.7,103.1,122.2,0,0,68,-39
Ciudad de México,2015-09-01,80.94017094017094,88.68445262189513,94.08341416100873,81.99672667757774,117,108.7,103.1,122.2,0,0,69,-38
Ciudad de México,2015-10-01,82.47863247863248,92.3643054277829,99.4180407371484,90.18003273322422,117,108.7,103.1,122.2,0,0,70,-37
Ciudad de México,2015-11-01,87.6068376068376,92.3643054277829,95.635305528613,91.1620294599018,117,108.7,103.1,122.2,0,0,71,-36
Ciudad de México,2015-12-01,80.17094017094017,88.22447102115916,93.8894277400582,85.67921440261865,117,108.7,103.1,122.2,0,0,72,-35
